template,sentence
adv_clause,"After the incident, a record didn’t sell any thing."
complex,"Although it was late, a record didn’t sell any thing."
simple,A student didn’t grab any mind.
rel_clause,The student that Mary saw didn’t grab any mind.
adv_clause,"After the incident, a student didn’t grab any mind."
complex,"Although it was late, a student didn’t grab any mind."
simple,A role didn’t provide any century.
rel_clause,The role that Alex saw didn’t provide any century.
adv_clause,"After the incident, a role didn’t provide any century."
complex,"Although it was late, a role didn’t provide any century."
simple,A name didn’t teach any student.
rel_clause,The name that Mary saw didn’t teach any student.
adv_clause,"After the incident, a name didn’t teach any student."
complex,"Although it was late, a name didn’t teach any student."
simple,A court didn’t produce any period.
rel_clause,The court that John saw didn’t produce any period.
adv_clause,"After the incident, a court didn’t produce any period."
complex,"Although it was late, a court didn’t produce any period."
simple,A girl didn’t control any production.
rel_clause,The girl that Mary saw didn’t control any production.
adv_clause,"After the incident, a girl didn’t control any production."
complex,"Although it was late, a girl didn’t control any production."
simple,A title didn’t feature any word.
rel_clause,The title that Sarah saw didn’t feature any word.
adv_clause,"After the incident, a title didn’t feature any word."
complex,"Although it was late, a title didn’t feature any word."
simple,A eye didn’t thank any road.
rel_clause,The eye that David saw didn’t thank any road.
adv_clause,"After the incident, a eye didn’t thank any road."
complex,"Although it was late, a eye didn’t thank any road."
simple,A land didn’t contain any town.
rel_clause,The land that Alex saw didn’t contain any town.
adv_clause,"After the incident, a land didn’t contain any town."
complex,"Although it was late, a land didn’t contain any town."
simple,A form didn’t build any mother.
rel_clause,The form that David saw didn’t build any mother.
adv_clause,"After the incident, a form didn’t build any mother."
complex,"Although it was late, a form didn’t build any mother."
simple,A room didn’t keep any music.
rel_clause,The room that David saw didn’t keep any music.
adv_clause,"After the incident, a room didn’t keep any music."
complex,"Although it was late, a room didn’t keep any music."
simple,A service didn’t change any summer.
rel_clause,The service that Sarah saw didn’t change any summer.
adv_clause,"After the incident, a service didn’t change any summer."
complex,"Although it was late, a service didn’t change any summer."
simple,A fire didn’t shake any field.
rel_clause,The fire that Mary saw didn’t shake any field.
adv_clause,"After the incident, a fire didn’t shake any field."
complex,"Although it was late, a fire didn’t shake any field."
simple,A development didn’t receive any production.
rel_clause,The development that Sarah saw didn’t receive any production.
adv_clause,"After the incident, a development didn’t receive any production."
complex,"Although it was late, a development didn’t receive any production."
simple,A home didn’t invite any version.
rel_clause,The home that Sarah saw didn’t invite any version.
adv_clause,"After the incident, a home didn’t invite any version."
complex,"Although it was late, a home didn’t invite any version."
simple,A age didn’t teach any force.
rel_clause,The age that Sarah saw didn’t teach any force.
adv_clause,"After the incident, a age didn’t teach any force."
complex,"Although it was late, a age didn’t teach any force."
simple,A career didn’t finish any century.
rel_clause,The career that John saw didn’t finish any century.
adv_clause,"After the incident, a career didn’t finish any century."
complex,"Although it was late, a career didn’t finish any century."
simple,A day didn’t defeat any man.
rel_clause,The day that Alex saw didn’t defeat any man.
adv_clause,"After the incident, a day didn’t defeat any man."
complex,"Although it was late, a day didn’t defeat any man."
simple,A woman didn’t shape any field.
rel_clause,The woman that Mary saw didn’t shape any field.
adv_clause,"After the incident, a woman didn’t shape any field."
complex,"Although it was late, a woman didn’t shape any field."
simple,A book didn’t throw any age.
rel_clause,The book that Alex saw didn’t throw any age.
adv_clause,"After the incident, a book didn’t throw any age."
complex,"Although it was late, a book didn’t throw any age."
simple,A role didn’t remove any line.
rel_clause,The role that Mary saw didn’t remove any line.
adv_clause,"After the incident, a role didn’t remove any line."
complex,"Although it was late, a role didn’t remove any line."
simple,A music didn’t reduce any title.
rel_clause,The music that Sarah saw didn’t reduce any title.
adv_clause,"After the incident, a music didn’t reduce any title."
complex,"Although it was late, a music didn’t reduce any title."
simple,A mother didn’t acquire any face.
rel_clause,The mother that Mary saw didn’t acquire any face.
adv_clause,"After the incident, a mother didn’t acquire any face."
complex,"Although it was late, a mother didn’t acquire any face."
simple,A version didn’t mark any title.
rel_clause,The version that John saw didn’t mark any title.
adv_clause,"After the incident, a version didn’t mark any title."
complex,"Although it was late, a version didn’t mark any title."
simple,A season didn’t represent any part.
rel_clause,The season that Alex saw didn’t represent any part.
adv_clause,"After the incident, a season didn’t represent any part."
complex,"Although it was late, a season didn’t represent any part."
simple,A town didn’t air any country.
rel_clause,The town that Sarah saw didn’t air any country.
adv_clause,"After the incident, a town didn’t air any country."
